annotation_id,_iter,confirmed_task,Reasoning,Variables,Template,A1,A2
7bda9645-0b5f-470a-8dd7-6af0bff4da68,0,"Check for pickup restaurant available in Boston, NY on March 18, 5pm with just one guest","Boston, NY is a place. March 18 is a date. 5pm is a time. one is a number. So, I need to remove them.","var1:  Boston, NY, var2: March 18, var3: 5pm, var4: one","Check for pickup restaurant available in [var1] on [var2], [var3] with just [var4] guest. ",Check for pickup restaurant,"Check for pickup restaurant in Boston, NY at 5pm"
a6372f23-f462-4706-8455-5b350c46d83c,1,"Book a winery tour in Napa Valley in a winery which serves Mediterranean cuisine with wine testing for 4 guests on April 15, 10 am in a outdoor setup.","Napa Valley is a place. Mediterranean is a type of cuisine. Wine tasting is an activity, but it's implied in a winery tour, so it may not be considered a variable. April 15 is a date. 10 am is a time. 4 is a number. Outdoor setup is a preference, but it's not a variable that changes the fundamental nature of the task, so it may be kept.","var1: Napa Valley, var2: Mediterranean, var3: April 15, var4: 10 am, var5: 4","Book a winery tour in [var1] in a winery which serves [var2] cuisine with wine tasting for [var5] guests on [var3], [var4] in an outdoor setup.",Book a winery tour with wine tasting for guests in an outdoor setup,"Book a winery tour in a winery which serves cuisine with wine tasting for guests on April 15, 10 am in an outdoor setup"
c0eeead1-f8ea-4819-a6da-ef0108b40c89,2,Sign Allan Smith for email offers with the email allan.smith@gmail.com and zip code 10001,"Allan Smith is a name. allan.smith@gmail.com is an email address. 10001 is a zip code. So, I need to remove them.","var1: Allan Smith, var2: allan.smith@gmail.com, var3: 10001",Sign [var1] for email offers with the email [var2] and zip code [var3],Sign up for email offers,Sign up for email offers with the zip code 10001
ce34bc61-e3d2-40c8-b02b-b149efc4b115,3,Find a mini van at Brooklyn City from April 5th to April 8th for a 22 year old renter.,"Mini van is a type of vehicle. Brooklyn City is a place. April 5th to April 8th is a date range. 22 year old is an age. So, I need to remove them.","var1: mini van, var2: Brooklyn City, var3: April 5th, var4: April 8th, var5: 22 year old",Find a [var1] at [var2] from [var3] to [var4] for a [var5] renter.,Find a vehicle for rent,Find a vehicle at Brooklyn City from April 5th to April 8th for a renter
bf469f30-6628-4017-b963-672645d7feab,4,Find the highest rated dog collar under 10 dollar.,"The phrase ""highest rated"" is a qualifier that does not specify a variable. ""dog collar"" is a product type. ""under 10 dollar"" specifies a price range, which is a variable that should be removed.",var1: under 10 dollar,Find the highest rated [var1] dog collar,Find the highest rated dog collar,Find the highest rated dog collar under 10 dollar
9e035a36-1c77-4014-98ec-4d48ee41d904,5,"Compare the fare types to book a 1-adult ticket from Springfiels, IL to Austin, TX for April 29th 2023","Fare types is a general category. 1-adult is a specific number and type of ticket. Springfield, IL and Austin, TX are places. April 29th 2023 is a date. So, I need to remove them.","var1: 1-adult, var2: Springfield, IL, var3: Austin, TX, var4: April 29th 2023",Compare the fare types to book a [var1] ticket from [var2] to [var3] for [var4],Compare the fare types to book a ticket,"Compare the fare types to book a ticket from Springfield, IL to Austin, TX for a specific date"
cf361c84-6414-4b05-a7a1-77383997150a,6,"Get an SUV with an additional driver and wifi for pick up in  any rental location near Washington regional airport on June 1, 11 am, and drop off at Washington international airport on June 2, 11 am, and pay for the booking instantly.","An SUV is a type of vehicle. Additional driver and wifi are service options. Washington regional airport and Washington international airport are places. June 1 and June 2 are dates. 11 am is a time. So, I need to remove them.","var1: SUV, var2: additional driver, var3: wifi, var4: Washington regional airport, var5: June 1, var6: 11 am, var7: Washington international airport, var8: June 2","Get an [var1] with an [var2] and [var3] for pick up in any rental location near [var4] on [var5], [var6], and drop off at [var7] on [var8], [var6], and pay for the booking instantly.",Get a vehicle with additional services for pick up in any rental location and drop off at another location and pay for the booking instantly,"Get a vehicle with an additional driver and wifi for pick up near Washington regional airport on June 1, 11 am, and drop off at Washington international airport on June 2, 11 am, and pay for the booking instantly"
46a3683f-fbe0-40d0-8729-6c7964d994e6,7,Find a men's UA outlet T-shirt of XL size and add to cart.,"Men's UA outlet is a specific product type. T-shirt is a product category. XL is a size. So, I need to remove them.","var1: men's UA outlet, var2: T-shirt, var3: XL",Find a [var1] [var2] of [var3] size and add to cart.,Find an item of a certain size and add to cart,Find a T-shirt of XL size and add to cart
4b2030ff-b83c-445f-bf87-9c8fbc68498b,8,Browse for wall art with a price range of $25 to $50.,The price range of $25 to $50 is a variable as it specifies a particular range of values.,var1: $25 to $50,Browse for wall art with a price range of [var1].,Browse for wall art,Browse for wall art with a price range
4bc70fa1-e817-405f-b113-0919e8e94205,9,Add the cheapest Women's Sweaters to my shopping cart.,"Women's Sweaters is a product category. Cheapest is a variable that indicates a price or value attribute. So, I need to remove them.","var1: Women's Sweaters, var2: cheapest",Add the [var2] [var1] to my shopping cart.,Add items to my shopping cart,Add the cheapest items to my shopping cart
